sep=,
TIME,LATITUDE (deg+-m),LONGITUDE (deg+-m),ALTITUDE (m+-m),TRACK (deg from true north+-deg),SPEED (m/s+-m/s),CLIMB (m/s+-m/s),MODE,SAT
2016-05-20T08:08:08.000Z+-0.005,41.126249333+-3.68,-8.640751667+-7.984,89.9+-11.5,0.0+-nan,0.047+-nan,0.0+-nan,3,10
2016-05-20T08:08:09.000Z+-0.005,41.126249833+-3.68,-8.640751333+-7.984,89.9+-11.5,0.0+-nan,0.021+-nan,0.0+-nan,3,10
2016-05-20T08:08:10.000Z+-0.005,41.1262495+-3.68,-8.640750667+-7.984,90.0+-11.5,0.0+-nan,0.056+-nan,0.0+-nan,3,10
2016-05-20T08:08:11.000Z+-0.005,41.126251167+-3.68,-8.640746667+-7.984,90.0+-11.5,0.0+-nan,0.01+-nan,0.0+-nan,3,10
2016-05-20T08:08:12.000Z+-0.005,41.126251833+-3.68,-8.640747833+-7.984,90.4+-11.5,0.0+-nan,0.019+-nan,0.0+-nan,3,11
2016-05-20T08:08:13.000Z+-0.005,41.126253+-3.68,-8.640749667+-7.984,90.7+-11.5,0.0+-nan,0.027+-nan,0.0+-nan,3,10
2016-05-20T08:08:14.000Z+-0.005,41.126253+-3.68,-8.640750333+-7.984,91.2+-11.5,0.0+-nan,0.032+-nan,0.0+-nan,3,10
2016-05-20T08:08:15.000Z+-0.005,41.1262535+-3.68,-8.640751333+-7.984,91.6+-11.5,0.0+-nan,0.005+-nan,0.0+-nan,3,11
2016-05-20T08:08:16.000Z+-0.005,41.126253333+-3.68,-8.640752167+-7.984,91.9+-11.5,0.0+-nan,0.014+-nan,0.0+-nan,3,10
2016-05-20T08:08:18.000Z+-0.005,41.126253+-3.68,-8.640754833+-7.984,92.5+-11.5,0.0+-nan,0.004+-nan,0.0+-nan,3,10
2016-05-20T08:08:19.000Z+-0.005,41.126252833+-3.68,-8.640755+-7.984,92.6+-11.5,0.0+-nan,0.044+-nan,0.0+-nan,3,10
2016-05-20T08:08:20.000Z+-0.005,41.126252833+-3.68,-8.640755167+-7.984,92.7+-11.5,0.0+-nan,0.102+-nan,0.0+-nan,3,10
2016-05-20T08:08:21.000Z+-0.005,41.1262525+-3.68,-8.640755333+-7.984,92.8+-11.5,0.0+-nan,0.025+-nan,0.0+-nan,3,10
2016-05-20T08:08:22.000Z+-0.005,41.126253167+-3.68,-8.640755167+-7.984,92.8+-11.5,0.0+-nan,0.023+-nan,0.0+-nan,3,10
2016-05-20T08:08:23.000Z+-0.005,41.126253333+-3.68,-8.6407555+-7.984,92.8+-11.5,0.0+-nan,0.004+-nan,0.0+-nan,3,10
2016-05-20T08:08:24.000Z+-0.005,41.126253+-3.68,-8.640756167+-7.984,93.0+-11.5,0.0+-nan,0.074+-nan,0.0+-nan,3,10
2016-05-20T08:08:25.000Z+-0.005,41.126252667+-3.68,-8.640757333+-7.984,93.2+-11.5,0.0+-nan,0.048+-nan,0.0+-nan,3,10
2016-05-20T08:08:26.000Z+-0.005,41.126252167+-3.68,-8.640761333+-7.984,93.5+-11.5,0.0+-nan,0.01+-nan,0.0+-nan,3,10
2016-05-20T08:08:27.000Z+-0.005,41.126252833+-3.68,-8.640762+-7.984,93.6+-13.283,0.0+-nan,0.057+-nan,0.0+-nan,3,10
2016-05-20T08:08:28.000Z+-0.005,41.126253+-3.68,-8.6407615+-7.984,93.5+-10.12,0.0+-nan,0.014+-nan,0.0+-nan,3,10
2016-05-20T08:08:29.000Z+-0.005,41.126253667+-3.68,-8.640761833+-7.984,93.6+-10.12,0.0+-nan,0.025+-nan,0.0+-nan,3,10
2016-05-20T08:08:30.000Z+-0.005,41.126254+-3.68,-8.640762833+-7.984,93.7+-10.12,0.0+-nan,0.027+-nan,0.0+-nan,3,10
2016-05-20T08:08:31.000Z+-0.005,41.126254167+-3.68,-8.640763833+-7.984,93.9+-10.12,0.0+-nan,0.011+-nan,0.0+-nan,3,10
2016-05-20T08:08:32.000Z+-0.005,41.126254+-3.68,-8.640765167+-7.984,94.0+-10.12,0.0+-nan,0.012+-nan,0.0+-nan,3,10
2016-05-20T08:08:33.000Z+-0.005,41.126253833+-3.68,-8.640766667+-7.984,94.0+-10.12,0.0+-nan,0.008+-nan,0.0+-nan,3,10
2016-05-20T08:08:34.000Z+-0.005,41.126254+-3.68,-8.640768833+-7.984,93.7+-10.12,0.0+-nan,0.017+-nan,0.0+-nan,3,10
2016-05-20T08:08:35.000Z+-0.005,41.126253667+-3.68,-8.640770833+-7.984,93.8+-10.12,0.0+-nan,0.048+-nan,0.0+-nan,3,10
2016-05-20T08:08:36.000Z+-0.005,41.126252667+-3.68,-8.640772667+-7.984,93.7+-10.12,0.0+-nan,0.005+-nan,0.0+-nan,3,10
2016-05-20T08:08:37.000Z+-0.005,41.1262515+-3.68,-8.640774667+-7.984,93.8+-10.12,0.0+-nan,0.026+-nan,0.0+-nan,3,10
2016-05-20T08:08:38.000Z+-0.005,41.126251167+-3.68,-8.640775667+-7.984,93.8+-10.12,0.0+-nan,0.013+-nan,0.0+-nan,3,10
2016-05-20T08:08:39.000Z+-0.005,41.126251333+-3.68,-8.640777167+-7.984,93.7+-10.12,0.0+-nan,0.041+-nan,0.0+-nan,3,10
2016-05-20T08:08:40.000Z+-0.005,41.1262515+-3.68,-8.6407785+-7.984,93.6+-10.12,0.0+-nan,0.049+-nan,0.0+-nan,3,10
2016-05-20T08:08:41.000Z+-0.005,41.126251333+-3.68,-8.64078+-7.984,93.5+-10.12,0.0+-nan,0.006+-nan,0.0+-nan,3,10
2016-05-20T08:08:42.000Z+-0.005,41.1262515+-3.68,-8.640779667+-7.984,93.5+-10.81,0.0+-nan,0.053+-nan,0.0+-nan,3,10
2016-05-20T08:08:43.000Z+-0.005,41.126251667+-3.68,-8.640779+-7.984,93.5+-10.81,0.0+-nan,0.041+-nan,0.0+-nan,3,10
2016-05-20T08:08:44.000Z+-0.005,41.126251333+-3.68,-8.640779167+-7.984,93.6+-10.81,0.0+-nan,0.137+-nan,0.0+-nan,3,10
2016-05-20T08:08:45.000Z+-0.005,41.126251+-3.68,-8.640778833+-7.984,93.8+-10.12,0.0+-nan,0.057+-nan,0.0+-nan,3,10
2016-05-20T08:08:46.000Z+-0.005,41.126251167+-3.68,-8.640778+-7.984,93.7+-10.12,0.0+-nan,0.039+-nan,0.0+-nan,3,10
2016-05-20T08:08:47.000Z+-0.005,41.126251333+-3.68,-8.640774667+-7.984,93.8+-10.12,0.0+-nan,0.021+-nan,0.0+-nan,3,10
2016-05-20T08:08:46.000Z+-0.005,41.126251833+-3.68,-8.6407715+-7.984,93.8+-10.12,0.0+-nan,0.069+-nan,0.0+-nan,3,10
2016-05-20T08:08:47.000Z+-0.005,41.126252667+-3.68,-8.640770167+-7.984,93.4+-10.12,0.0+-nan,0.049+-nan,0.0+-nan,3,10
2016-05-20T08:08:48.000Z+-0.005,41.126253333+-3.68,-8.6407695+-7.984,93.3+-10.12,0.0+-nan,0.045+-nan,0.0+-nan,3,10
2016-05-20T08:08:49.000Z+-0.005,41.126253+-3.68,-8.640769333+-7.984,93.4+-10.12,0.0+-nan,0.06+-nan,0.0+-nan,3,10
2016-05-20T08:08:50.000Z+-0.005,41.126253167+-3.68,-8.6407695+-7.984,93.0+-10.12,0.0+-nan,0.015+-nan,0.0+-nan,3,10
2016-05-20T08:08:51.000Z+-0.005,41.126255833+-3.68,-8.640769167+-7.984,92.1+-10.12,0.0+-nan,0.031+-nan,0.0+-nan,3,10
2016-05-20T08:08:52.000Z+-0.005,41.126256333+-3.68,-8.640768333+-7.984,91.9+-10.12,0.0+-nan,0.031+-nan,0.0+-nan,3,10
2016-05-20T08:08:53.000Z+-0.005,41.126256333+-3.68,-8.640768+-7.984,92.0+-10.12,0.0+-nan,0.058+-nan,0.0+-nan,3,10
2016-05-20T08:08:54.000Z+-0.005,41.126256833+-3.68,-8.640767667+-7.984,91.7+-10.12,0.0+-nan,0.023+-nan,0.0+-nan,3,10
2016-05-20T08:08:55.000Z+-0.005,41.126256333+-3.68,-8.640767333+-7.984,91.7+-10.12,0.0+-nan,0.02+-nan,0.0+-nan,3,10
2016-05-20T08:08:56.000Z+-0.005,41.126256333+-3.68,-8.640767167+-7.984,91.7+-10.12,0.0+-nan,0.011+-nan,0.0+-nan,3,10
2016-05-20T08:08:57.000Z+-0.005,41.126256333+-3.68,-8.640766833+-7.984,91.9+-10.12,0.0+-nan,0.005+-nan,0.0+-nan,3,10
2016-05-20T08:08:58.000Z+-0.005,41.126257167+-3.68,-8.640766667+-7.984,91.9+-10.12,0.0+-nan,0.004+-nan,0.0+-nan,3,10
